zip,lat,lon,city
35233,33.508205,-86.802339,BIRMINGHAM
35234,33.513505,-86.83244,BIRMINGHAM
35235,33.632816,-86.649293,BIRMINGHAM
35236,33.544622,-86.929208,BIRMINGHAM
35237,33.544622,-86.929208,BIRMINGHAM
35238,33.544622,-86.929208,BIRMINGHAM
35240,33.425892,-86.776926,BIRMINGHAM
35242,33.381339,-86.704571,BIRMINGHAM
35243,33.445932,-86.750203,BIRMINGHAM
35244,33.351944,-86.949784,BIRMINGHAM
35245,33.544622,-86.929208,BIRMINGHAM
35246,33.544622,-86.929208,BIRMINGHAM
35249,33.544622,-86.929208,BIRMINGHAM
35253,33.544622,-86.929208,BIRMINGHAM
35254,33.544622,-86.929208,BIRMINGHAM
35255,33.544622,-86.929208,BIRMINGHAM
35259,33.544622,-86.929208,BIRMINGHAM
35260,33.544622,-86.929208,BIRMINGHAM
35261,33.544622,-86.929208,BIRMINGHAM
35263,33.522505,-86.80939,BIRMINGHAM
35266,33.372861,-86.853075,BIRMINGHAM
35277,33.544622,-86.929208,BIRMINGHAM
35278,33.544622,-86.929208,BIRMINGHAM
35279,33.544622,-86.929208,BIRMINGHAM
35280,33.544622,-86.929208,BIRMINGHAM
35281,33.544622,-86.929208,BIRMINGHAM
35282,33.544622,-86.929208,BIRMINGHAM
35283,33.544622,-86.929208,BIRMINGHAM
35285,33.544622,-86.929208,BIRMINGHAM
35286,33.544622,-86.929208,BIRMINGHAM
35287,33.544622,-86.929208,BIRMINGHAM
35288,33.445808,-86.928542,BIRMINGHAM
35289,33.544622,-86.929208,BIRMINGHAM
35290,33.544622,-86.929208,BIRMINGHAM
35291,33.544622,-86.929208,BIRMINGHAM
35292,33.544622,-86.929208,BIRMINGHAM
35293,33.544622,-86.929208,BIRMINGHAM
35294,33.544622,-86.929208,BIRMINGHAM
35295,33.544622,-86.929208,BIRMINGHAM
35296,33.544622,-86.929208,BIRMINGHAM
35297,33.544622,-86.929208,BIRMINGHAM
35298,33.544622,-86.929208,BIRMINGHAM
35299,33.544622,-86.929208,BIRMINGHAM
35401,33.241899,-87.597599,TUSCALOOSA
35402,33.306606,-87.453224,TUSCALOOSA
35403,33.20445,-87.526953,TUSCALOOSA
35404,33.182563,-87.482744,TUSCALOOSA
35405,33.10407,-87.518144,TUSCALOOSA
35406,33.335596,-87.533495,TUSCALOOSA
35407,33.306606,-87.453224,TUSCALOOSA
35440,33.311014,-87.18975,ABERNANT
35441,32.855347,-87.721868,AKRON
35442,33.236962,-88.061517,ALICEVILLE
35443,32.737366,-87.967724,BOLIGEE
35444,33.333139,-87.277818,BROOKWOOD
35446,33.230568,-87.754733,BUHL
35447,33.289682,-88.117113,CARROLLTON
35448,32.835692,-87.956884,CLINTON
35449,33.135876,-87.338369,COALING
35452,33.293358,-87.688789,COKER
35453,33.18178,-87.383843,COTTONDALE
35456,33.072735,-87.432921,DUNCANVILLE
35457,33.294004,-87.776584,ECHOLA
35458,33.367757,-87.801689,ELROD
35459,32.621168,-88.285932,EMELLE
35460,32.672049,-88.120605,EPES
35461,33.413277,-88.209276,ETHELSVILLE
35462,32.836298,-87.893016,EUTAW
35463,33.084337,-87.697507,FOSTERS
35464,32.778274,-88.145715,GAINESVILLE
35466,33.290717,-87.875835,GORDO
35468,33.306606,-87.453224,KELLERMAN
35469,32.835692,-87.956884,KNOXVILLE
35470,32.571432,-88.133322,LIVINGSTON
35471,33.262603,-88.088514,MC SHAN
35473,33.347539,-87.537152,NORTHPORT
35474,32.910756,-87.593514,MOUNDVILLE
35475,33.39924,-87.559894,NORTHPORT
35476,33.356502,-87.538006,NORTHPORT
35477,32.872597,-88.237388,PANOLA
35478,33.306606,-87.453224,PETERSON
35480,33.127407,-87.762393,RALPH
35481,33.314928,-88.042923,REFORM
35482,33.306606,-87.453224,SAMANTHA
35485,33.306606,-87.453224,TUSCALOOSA
35486,33.272662,-87.793794,TUSCALOOSA
35487,33.307222,-87.585902,TUSCALOOSA
35490,33.226133,-87.225842,VANCE
35491,32.835692,-87.956884,WEST GREENE
35501,33.796234,-87.316923,JASPER
35502,33.901993,-87.293888,JASPER
35503,33.915182,-87.307386,JASPER
35504,33.818309,-87.235474,JASPER
35540,34.229897,-87.358538,ADDISON
35541,34.095345,-87.188237,ARLEY
35542,33.712675,-87.774117,BANKSTON
35543,34.16493,-87.739592,BEAR CREEK
35544,33.950211,-88.018981,BEAVERTON
35545,33.645228,-87.923872,BELK
35546,33.634468,-87.676862,BERRY
35548,34.038126,-87.75667,BRILLIANT
35549,33.772696,-87.455456,CARBON HILL
35550,33.740956,-87.225644,CORDOVA
35551,34.145939,-87.373241,DELMAR
35552,34.025325,-88.153299,DETROIT
35553,34.121357,-87.360437,DOUBLE SPRINGS
35554,33.92856,-87.613508,ELDRIDGE
35555,33.72005,-87.809908,FAYETTE
35559,33.889566,-87.696401,GLEN ALLEN
35560,33.679503,-87.237372,GOODSPRINGS
35563,34.078901,-87.813808,GUIN
35564,34.122514,-87.828236,HACKLEBURG
35565,34.179569,-87.505293,HALEYVILLE
35570,34.167583,-87.994648,HAMILTON
35571,34.373392,-87.946916,HODGES
35572,34.188775,-87.2786,HOUSTON
35573,33.92169,-87.524264,KANSAS
35574,33.615308,-87.99477,KENNEDY
35575,34.049571,-87.552646,LYNN
35576,33.606342,-88.131425,MILLPORT
35577,34.093409,-87.600815,NATURAL BRIDGE
35578,33.885529,-87.469627,NAUVOO
35579,33.664909,-87.376844,OAKMAN
35580,33.713348,-87.298601,PARRISH
35581,34.390917,-87.859392,PHIL CAMPBELL
35582,34.453468,-88.067792,RED BAY
35584,33.820144,-87.077898,SIPSEY
35585,34.424572,-87.81446,SPRUCE PINE
35586,33.854224,-88.10667,SULLIGENT
35587,33.793322,-87.440648,TOWNLEY
35592,33.732286,-88.086009,VERNON
35593,34.404307,-87.954816,VINA
35594,34.062,-87.814078,WINFIELD
35601,34.549833,-86.995551,DECATUR
35602,34.606216,-87.088142,DECATUR
35603,34.53832,-86.96556,DECATUR
35609,34.495365,-86.82993,DECATUR
35610,34.942388,-87.273375,ANDERSON
35611,34.764976,-87.103488,ATHENS
35612,34.774907,-87.030479,ATHENS
35613,34.831704,-86.886679,ATHENS
35614,34.847364,-87.060696,ATHENS
35615,34.774907,-87.030479,BELLE MINA
35616,34.733866,-87.90624,CHEROKEE
35617,34.869964,-87.706859,CLOVERDALE
35618,34.673954,-87.28962,COURTLAND
35619,34.459389,-87.054151,DANVILLE
35620,34.899993,-86.972554,ELKMONT
